ID,Nome,Descricao,Icone,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
CAT001,Processos,Área de desenvolvimento profissional: Processos.,,1,True,2026-07-17,2026-07-17,Origem: coluna Área da planilha Heatmap_BI_Conteudos_v2.
CAT002,Sistemas,Área de desenvolvimento profissional: Sistemas.,,2,True,2026-07-17,2026-07-17,Origem: coluna Área da planilha Heatmap_BI_Conteudos_v2.
CAT003,Dados,Área de desenvolvimento profissional: Dados.,,3,True,2026-07-17,2026-07-17,Origem: coluna Área da planilha Heatmap_BI_Conteudos_v2.
