ID,ID_Nivel,ID_Recurso,Papel_Recurso,Obrigatorio,Ordem,Grupo_Equivalencia,Observacoes
NRE092,NIV046,REC092,COMPLEMENTAR,False,2,,
NRE093,NIV047,REC093,PRINCIPAL,False,1,,
NRE094,NIV047,REC094,COMPLEMENTAR,False,2,,
NRE095,NIV048,REC095,PRINCIPAL,False,1,,
NRE096,NIV048,REC096,COMPLEMENTAR,False,2,,
NRE097,NIV049,REC097,PRINCIPAL,False,1,,
NRE098,NIV049,REC098,COMPLEMENTAR,False,2,,
NRE099,NIV050,REC099,PRINCIPAL,False,1,,
NRE100,NIV050,REC100,COMPLEMENTAR,False,2,,
NRE101,NIV051,REC101,PRINCIPAL,False,1,,
NRE102,NIV051,REC102,COMPLEMENTAR,False,2,,
NRE103,NIV052,REC103,PRINCIPAL,False,1,,
NRE104,NIV052,REC104,COMPLEMENTAR,False,2,,
NRE105,NIV053,REC105,PRINCIPAL,False,1,,
NRE106,NIV053,REC106,COMPLEMENTAR,False,2,,
NRE107,NIV054,REC107,PRINCIPAL,False,1,,
NRE108,NIV054,REC108,COMPLEMENTAR,False,2,,
NRE109,NIV055,REC109,PRINCIPAL,False,1,,
NRE110,NIV055,REC110,COMPLEMENTAR,False,2,,
NRE111,NIV056,REC111,PRINCIPAL,False,1,,
NRE112,NIV056,REC112,COMPLEMENTAR,False,2,,
NRE113,NIV057,REC113,PRINCIPAL,False,1,,
NRE114,NIV057,REC114,COMPLEMENTAR,False,2,,
NRE115,NIV058,REC115,PRINCIPAL,False,1,,
NRE116,NIV058,REC116,COMPLEMENTAR,False,2,,
NRE117,NIV059,REC117,PRINCIPAL,False,1,,
NRE118,NIV059,REC118,COMPLEMENTAR,False,2,,
NRE119,NIV060,REC119,PRINCIPAL,False,1,,
NRE120,NIV060,REC120,COMPLEMENTAR,False,2,,
NRE121,NIV061,REC121,PRINCIPAL,False,1,,
NRE122,NIV061,REC122,COMPLEMENTAR,False,2,,
NRE123,NIV062,REC123,PRINCIPAL,False,1,,
NRE124,NIV062,REC124,COMPLEMENTAR,False,2,,
NRE125,NIV063,REC125,PRINCIPAL,False,1,,
NRE126,NIV063,REC126,COMPLEMENTAR,False,2,,
NRE127,NIV064,REC127,PRINCIPAL,False,1,,
NRE128,NIV064,REC128,COMPLEMENTAR,False,2,,
